DATE,Industrial Grey WF_Semambu Area
9/24/2017,1689.6505
9/25/2017,2958.64
9/26/2017,2110.3115
9/27/2017,1726.3
9/28/2017,3167.1155
9/29/2017,1901.836
9/30/2017,3097.5265
10/1/2017,2532.708
10/2/2017,2681.748
10/3/2017,2712.8655
10/4/2017,1507.608
10/5/2017,1715.603
10/6/2017,1538.7255
10/7/2017,1656.648
10/8/2017,1507.608
10/9/2017,2740.233
10/10/2017,1687.7655
10/11/2017,1538.7255
10/12/2017,2532.708
10/13/2017,1733.633
10/14/2017,1507.562
10/15/2017,2653.8655
10/16/2017,1715.733
10/17/2017,1632.733
10/18/2017,1715.713
10/19/2017,1687.7655
10/20/2017,2123.308
10/21/2017,1507.608
10/22/2017,1746.8405
10/23/2017,2681.748
10/24/2017,1656.648
10/25/2017,1656.648
10/26/2017,1746.9205
10/27/2017,2532.708
10/28/2017,1507.608
10/29/2017,1895.8905
10/30/2017,2532.708
10/31/2017,1715.733
11/1/2017,10100.7225
11/2/2017,10214.82
11/3/2017,10977.945
11/4/2017,20087.3475
11/5/2017,13859.4225
11/6/2017,10100.7225
11/7/2017,10977.945
11/8/2017,15565.5225
11/9/2017,19324.2225
11/10/2017,10100.7225
11/11/2017,10977.945
11/12/2017,13859.4225
11/13/2017,10100.7225
11/14/2017,15679.62
11/15/2017,10863.8475
11/16/2017,19324.2225
11/17/2017,14622.5475
11/18/2017,10214.82
11/19/2017,16328.6475
11/20/2017,10100.5225
11/21/2017,10100.7225
11/22/2017,19438.32
11/23/2017,15565.5225
11/24/2017,10863.8475
11/25/2017,10100.7225
11/26/2017,19437.32
11/27/2017,10977.945
11/28/2017,15564.9225
11/29/2017,14622.5475
11/30/2017,13973.52
12/1/2017,9654.4349
12/2/2017,10960.2747
12/3/2017,17196.8252
12/4/2017,9459.1941
12/5/2017,10960.2747
12/6/2017,10020.1941
12/7/2017,15890.9854
12/8/2017,9459.1941
12/9/2017,16673.9252
12/10/2017,10394.3164
12/11/2017,9576.4349
12/12/2017,9459.1941
12/13/2017,18327.1883
12/14/2017,16826.1077
12/15/2017,10589.0572
12/16/2017,9459.7941
12/17/2017,17196.65328
12/18/2017,9459.1941
12/19/2017,10394.3164
12/20/2017,10765.0339
12/21/2017,14449.3485
12/22/2017,9459.2041
12/23/2017,9459.1941
12/24/2017,18327.1883
12/25/2017,9459.1541
12/26/2017,9459.1941
12/27/2017,18327.1813
12/28/2017,9459.1941
12/29/2017,17196.8252
12/30/2017,10589.5552
12/31/2017,9459.1941
1/1/2018,1004.7401
1/2/2018,933.2084
1/3/2018,933.2084
1/4/2018,1752.6376
1/5/2018,1626.3578
